StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,AWNA,PLNA,PLA,AWA,Age,School,Employment,HHI,Industry,Sex,per_week,time_spent,lifestyle,country,attention,lose,win_work,win_invest,confirm
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please select one of the two payout options below. At the end of the survey, there is a 10% chance that your choice will be carried out and you will receive the payout for the option you have selected as a worker bonus.","Please select one of the two payout options below. At the end of the survey, there is a 10% chance that your choice will be carried out and you will receive the payout for the option you have selected as a worker bonus.","Please select one of the two payout options below. At the end of the survey, there is a 10% chance that your choice will be carried out and you will receive the payout for the option you have selected as a worker bonus.","Please select one of the two payout options below. At the end of the survey, there is a 10% chance that your choice will be carried out and you will receive the payout for the option you have selected as a worker bonus.",How old are you?,What is the highest level of school you have completed or the highest degree you have received?,Which statement best describes your current employment status?,"Please estimate your household's annual income (before taxes), and select the appropriate option below.",Please indicate your occupation's industry:,What is your sex?,How often do you use Mechanical Turk each Week?,How long do you spend on Mechanical Turk on a day when you use the platform?,How does the money you earn from Mechanical Turk affect your lifestyle?,I am responding to this survey from:,"Some people race through questions, randomly selecting answers to move forward. To demonstrate you are paying attention, please do not select an answer for this question.",Your survey was not randomly selected for a payout.,"Your survey was randomly selected for a payout. As you selected the option to ""work"" at the beginning of the survey, you will receive a bonus payment of $10.00 within the next few weeks to your Mechanical Turk account.","Your survey was randomly selected for a payout. As you selected the option to invest at the beginning of the survey, you will receive a bonus payment in accordance with your selected option within the next few weeks to your Mechanical Turk account.","This number serves as your confirmation code for Mechanical Turk: [int-1000:9999].



Please copy and paste it into the box below, and save the number to submit to the Mechanical Turk HIT for survey completion credit. The number you place in the box below must match what you submit to Mechanical Turk to receive completion credit for this HIT."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID14""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID35""}","{""ImportId"":""QID26""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}"
2019-03-11 10:05:10,2019-03-11 10:06:06,Survey Preview,,100,56,True,2019-03-11 10:06:07,R_3k25Yqect9b03jQ,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",45 - 54,Associate or Technical degree in college (2-year),Part-time employed,"$40,000 - $49,999","Management, professional, and related",Non-binary,Once a week,More than 7 hours,,India,,Select here to acknowledge your understanding,,,
2019-03-11 10:07:27,2019-03-11 10:08:51,Survey Preview,,100,83,True,2019-03-11 10:08:51,R_pgEZWgFpKiiNlUB,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,45 - 54,Associate or Technical degree in college (2-year),Not working and seeking employment,"$40,000 - $49,999",Sales and office,Female,Once or twice a month,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,Another Country,,Select here to acknowledge your understanding,,,
2019-03-11 10:12:14,2019-03-11 10:13:06,Survey Preview,,100,51,True,2019-03-11 10:13:06,R_10ZNs1aSVXMihNf,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,55 - 64,Master's degree,Not working and seeking employment,"$20,000 - $29,999","Farming, fishing, and forestry",Male,Once a week,1 - 2 hours,Mechanical Turk money is always needed to make basic ends meet,The United States,,Select here to acknowledge your understanding,,,
2019-03-11 10:14:29,2019-03-11 10:15:00,Survey Preview,,100,30,True,2019-03-11 10:15:00,R_12tENstwHfbDShz,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,45 - 54,Associate or Technical degree in college (2-year),Not working and seeking employment,"$30,000 - $39,999","Farming, fishing, and forestry",Female,Once a week,More than 7 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,The United States,,Select here to acknowledge your understanding,,,
2019-03-11 10:17:34,2019-03-11 10:18:27,Survey Preview,,100,53,True,2019-03-11 10:18:28,R_3CAYU35r1ugB9VH,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,25 - 34,Master's degree,Part-time looking for full-time,"$40,000 - $49,999",Service,Female,Once a week,5 - 6 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,India,,,,,
2019-03-11 10:18:30,2019-03-11 10:19:06,Survey Preview,,100,36,True,2019-03-11 10:19:07,R_3GDQwGbyxt4WVM6,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,25 - 34,Bachelor's degree in college (4-year),Part-time employed,"$30,000 - $39,999","Farming, fishing, and forestry",Male,Once or twice a month,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,Another Country,,,,,
2019-03-11 10:19:10,2019-03-11 10:19:55,Survey Preview,,100,44,True,2019-03-11 10:19:55,R_81gKurvdSA6KVkR,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,Under 18,"Professional degree (JD, MD)",Full-time employed,"$20,000 - $29,999",Service,Female,2-3 times a week,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,India,,,,,
2019-03-11 10:26:16,2019-03-11 10:26:51,Survey Preview,,100,34,True,2019-03-11 10:26:51,R_3J3jhW2lnpi02f2,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,45 - 54,Doctoral degree,Not Working (disabled),"$40,000 - $49,999",Service,Female,Once a week,Less than 30 minutes,Mechanical Turk money does not materially change my financial situation,Canada,,Select here to acknowledge your understanding,,,
2019-03-11 10:26:54,2019-03-11 10:27:21,Survey Preview,,100,27,True,2019-03-11 10:27:22,R_31aDpkWRMsvsUuZ,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,25 - 34,Master's degree,Part-time looking for full-time,"$70,000 - $79,999",Government,Non-binary,4-6 times a week,More than 7 hours,Mechanical Turk money does not materially change my financial situation,The United States,,Select here to acknowledge your understanding,,,
2019-03-11 10:27:24,2019-03-11 10:27:57,Survey Preview,,100,32,True,2019-03-11 10:27:58,R_3CuSwYnw67PjKuJ,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,25 - 34,Master's degree,Not Working (disabled),"$20,000 - $29,999","Management, professional, and related",Male,2-3 times a week,Less than 30 minutes,Mechanical Turk money does not materially change my financial situation,Canada,,,Select here to acknowledge your understanding,,
2019-03-11 10:35:43,2019-03-11 10:36:16,Survey Preview,,100,33,True,2019-03-11 10:36:16,R_2TZbChYINAC04bP,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,45 - 54,"Professional degree (JD, MD)",Not working and seeking employment,"$20,000 - $29,999","Farming, fishing, and forestry",Female,Daily,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,The United Kingdom,,Select here to acknowledge your understanding,,,
2019-03-11 10:47:15,2019-03-11 10:48:23,Survey Preview,,100,68,True,2019-03-11 10:48:23,R_1MLJ0zHkSMlQtwd,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,18 - 24,"Professional degree (JD, MD)",Not working and seeking employment,"$30,000 - $39,999",Sales and office,Non-binary,Once a week,Less than 30 minutes,Mechanical Turk money is always needed to make basic ends meet,The United Kingdom,,,,,2160
2019-03-11 10:55:02,2019-03-11 10:56:05,Survey Preview,,100,62,True,2019-03-11 10:56:05,R_247Y288Sx8Je9se,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,45 - 54,Some college but no degree,Part-time looking for full-time,"$70,000 - $79,999","Management, professional, and related",Female,4-6 times a week,3 - 4 hours,Mechanical Turk money is always needed to make basic ends meet,The United States,,Select here to acknowledge your understanding,,,2543
2019-03-11 11:04:04,2019-03-11 11:04:45,Survey Preview,,100,41,True,2019-03-11 11:04:45,R_3FIf87jS8IIgOY6,,,,,39.9597015380859375,-75.19950103759765625,preview,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,18 - 24,Master's degree,Not working and seeking employment,"$30,000 - $39,999","Management, professional, and related",Male,Once or twice a month,30 - 60 Minutes,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,India,Europe,Select here to acknowledge your understanding,,,1370
2019-03-13 09:38:47,2019-03-13 09:39:50,IP Address,165.123.108.250,100,62,True,2019-03-13 09:39:50,R_10veMIcVRFmJDqX,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",18 - 24,Bachelor's degree in college (4-year),Part-time looking for full-time,"$100,000 - $149,999","Construction, extraction, and maintenance",Male,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,The United Kingdom,South America,Select here to acknowledge your understanding,,,2966
2019-03-13 11:39:33,2019-03-13 11:46:11,IP Address,158.130.174.38,100,398,True,2019-03-13 11:46:11,R_3qlIbDYNCCS77xw,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,18 - 24,High school graduate (high school diploma or equivalent including GED),Part-time employed,"More than $150,000",Unemployed,Female,Once or twice a month,5 - 6 hours,Mechanical Turk money does not materially change my financial situation,Another Country,North America,Select here to acknowledge your understanding,,,6849
2019-03-13 11:46:14,2019-03-13 11:48:27,IP Address,158.130.174.38,100,133,True,2019-03-13 11:48:28,R_vjjsqeEkC0TMvHb,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,65 - 74,High school graduate (high school diploma or equivalent including GED),Not working and seeking employment,"Less than $10,000",Sales and office,Non-binary,2-3 times a week,30 - 60 Minutes,Mechanical Turk money is sometimes needed to make basic ends meet,The United States,,Select here to acknowledge your understanding,,,9078
2019-03-13 11:48:30,2019-03-13 11:49:02,IP Address,158.130.174.38,100,31,True,2019-03-13 11:49:03,R_vc3ssQ4qDf7b6dH,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,45 - 54,Master's degree,Retired,"$10,000 - $19,999","Management, professional, and related",Female,4-6 times a week,30 - 60 Minutes,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,The United Kingdom,,Select here to acknowledge your understanding,,,2285
2019-03-13 11:49:04,2019-03-13 11:49:55,IP Address,158.130.174.38,100,51,True,2019-03-13 11:49:56,R_2CljDUEnlJRmMC7,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",Under 18,Doctoral degree,Prefer not to answer,"$10,000 - $19,999",Government,Female,4-6 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,Another Country,,Select here to acknowledge your understanding,,,1738
2019-03-13 11:49:59,2019-03-13 11:50:25,IP Address,158.130.174.38,100,26,True,2019-03-13 11:50:26,R_a3GSjLDpj1M6v85,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,35 - 44,Associate or Technical degree in college (2-year),Part-time looking for full-time,"$20,000 - $29,999","Management, professional, and related",Female,4-6 times a week,30 - 60 Minutes,Mechanical Turk money is always needed to make basic ends meet,Canada,,Select here to acknowledge your understanding,,,4695
2019-03-13 11:50:27,2019-03-13 11:50:54,IP Address,158.130.174.38,100,26,True,2019-03-13 11:50:54,R_us2AoTxKzPodb7b,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,25 - 34,Bachelor's degree in college (4-year),Not working and seeking employment,"$20,000 - $29,999","Construction, extraction, and maintenance",Male,2-3 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,The United Kingdom,,Select here to acknowledge your understanding,,,1029
2019-03-13 11:50:55,2019-03-13 11:51:53,IP Address,158.130.174.38,100,57,True,2019-03-13 11:51:53,R_3qy533Nd7EctOr7,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,25 - 34,"Professional degree (JD, MD)",Not working and seeking employment,"Less than $10,000","Production, transportation, and material moving",Female,Once a week,3 - 4 hours,Mechanical Turk money is always needed to make basic ends meet,India,Asia,Select here to acknowledge your understanding,,,6728
2019-03-13 11:51:59,2019-03-13 11:52:40,IP Address,158.130.174.38,100,40,True,2019-03-13 11:52:40,R_1flqxVmdREZb1Mg,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,25 - 34,High school graduate (high school diploma or equivalent including GED),Not Working (disabled),"$20,000 - $29,999",Unemployed,Female,Once a week,1 - 2 hours,Mechanical Turk money is always needed to make basic ends meet,India,,,,Select here to acknowledge your understanding,3397
2019-03-13 11:52:42,2019-03-13 11:53:16,IP Address,158.130.174.38,100,34,True,2019-03-13 11:53:17,R_1cXLahj3cGis77X,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,25 - 34,"Professional degree (JD, MD)",Not working and seeking employment,"$10,000 - $19,999","Management, professional, and related",Female,Once a week,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,The United Kingdom,,Select here to acknowledge your understanding,,,7880
2019-03-13 11:53:18,2019-03-13 11:53:47,IP Address,158.130.174.38,100,28,True,2019-03-13 11:53:47,R_3Li3slSNlOFC9Pj,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,35 - 44,High school graduate (high school diploma or equivalent including GED),Not Working (disabled),"$30,000 - $39,999",Government,Male,2-3 times a week,30 - 60 Minutes,Mechanical Turk money is sometimes needed to make basic ends meet,The United Kingdom,Asia,Select here to acknowledge your understanding,,,6897
2019-03-13 11:53:49,2019-03-13 11:54:21,IP Address,158.130.174.38,100,32,True,2019-03-13 11:54:21,R_C30A0adMoGNysKd,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,25 - 34,High school graduate (high school diploma or equivalent including GED),Part-time employed,"$20,000 - $29,999",Service,Female,Once or twice a month,5 - 6 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,Canada,,Select here to acknowledge your understanding,,,5476
2019-03-13 11:54:25,2019-03-13 11:58:31,IP Address,158.130.174.38,100,246,True,2019-03-13 11:58:32,R_ABfvz72nKi75HYB,,,,,39.9597015380859375,-75.19950103759765625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",35 - 44,Associate or Technical degree in college (2-year),Not working and seeking employment,"$20,000 - $29,999",Service,Non-binary,4-6 times a week,3 - 4 hours,Mechanical Turk money is always needed to make basic ends meet,Canada,,Select here to acknowledge your understanding,,,1253
2019-03-13 11:58:34,2019-03-13 12:21:59,IP Address,158.130.174.38,39,1405,False,2019-03-13 16:22:08,R_31vM7Ebv42iuesh,,,,,,,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",75 - 84,Master's degree,Not working and seeking employment,"$30,000 - $39,999",Unemployed,Female,,,,,,,,,
